ลำดับ,รายการสินค้า (Product List),ชื่อสินค้า (Product Name),จำนวน Quantity,ราคา Price
1,ไส้กรอก,บุชเชอร์ชีสซอสเซจ,120 กิโลกรัม,20บาท
2,ไข่ไก่,ซีพี ไข่ไก่ถาดกระดาษ 30 ฟอง เบอร์ 0,1000 ฟอง,5บาท
3,น้ำตาลทราย,มิตรผลน้ำตาลทราย,200 กิโลกรัม,10บาท
4,น่องไก่,ซีพี น่องติดสะโพกไก่,150 กิโลกรัม,54บาท
5,หมูบด,หมูบด,70 กิโลกรัม,44บาท
6,สันนอกหมูสไลซ์,ซีพี สันนอกหมูสไลซ์,200 กิโลกรัม,120บาท
7,กุ้ง,ซุปเปอร์เชฟ กุ้งปอกไว้หาง,25 กิโลกรัม,213บาท
8,วุ้นเส้น,มังกรคู่วุ้นเส้น,80 กิโลกรัม,33บาท
9,โครงไก่,ซีพี โครงไก่,110 กิโลกรัม,57บาท
10,น้ำมันปาล์ม,หยกน้ำมันปาล์ม,70 ขวด,21บาท
11,กะทิ,กะทิอร่อยดี,40 ลิตร,63บาท
12,เกี๊ยวกุ้ง,ซีพี เกี๊ยวกุ้งดิบพร้อมปรุง,70 ห่อ,44บาท
13,นมสด,เมจิ นมสดพาสเจอร์ไรส์รสจืด 2 ลิตร,125 ขวด,89บาท
14,เห็ดเข็มทอง,โลตัส เห็ดเข็มทอง 500 กรัม,37 แพ็ค,210บาท
15,ปลาแซลม่อน,พิชัย เนื้อปลาแซลม่อนหั่นชิ้น 190 กรัม,14 ห่อ,88บาท
16,สะโพกไก่,CP สะโพกแต่งตัดชิ้น SIS,49 กิโลกรัม,45บาท
17,ซอสหอยนางรม,แม่ครัวซอสหอยนางรม 600 ซีซี.,69 ขวด,44บาท
18,เต้าหู้ปลา,ซีพี ซีฟู๊ด เต้าหู้ปลา 500 กรัม,79 ห่อ,102บาท
19,ผักบุ้ง,โลตัส ผักบุ้งจีน,400 ห่อ,33บาท
20,หมูสามชั้น,ซีพี สามชั้นตัดเส้น,220 กิโลกรัม,70บาท
21,ต้นหอม,โลตัส ต้นหอม,99 แพ็ค,44บาท
22,ผักกวางตุ้ง,โลตัส กวางตุ้งไต้หวัน,57 แพ็ค,36บาท
23,พริกขี้หนู,โลตัส พริกขี้หนู,123 แพ็ค,39บาท
24,กะหล่ำปลี,กะหล่ำปลี,155 แพ็ค,42บาท
25,ผักชี,โลตัส ผักชี,199 แพ็ค,53บาท
26,หอมหัวใหญ่,โลตัส หอมหัวใหญ่,199 แพ็ค,50บาท
27,หมูยอ,ซีพี หมูยอ 450 กรัม,398 แพ็ค,80บาท
28,ไก่จ๊อ,ห้าดาว ไก่จ๊อแช่แข็ง 500 กรัม,29 แพ็ค,75บาท
29,ปีกไก่,ซีพี ปีกบนไก่,51 กิโลกรัม,55บาท
30,น้ำมันปาล์ม,มรกตน้ำมันปาล์ม 1 ลิตร,42 ขวด,35บาท
31,น้ำตาลทรายขาว,วังขนายน้ำตาลทรายขาว ถุงเขียว 1กก.,51 ถุง,65บาท
32,นักเก็ตไก่,ซีพี นักเก็ตไก่คลาสสิค 1 กิโลกรัม,15 แพ็ค,120บาท
33,แครอท,โลตัส แครอทนอก,14 แพ็ค,140บาท
34,แฮม,ซีพี โบโลน่าหมูพริก 150 กรัม,27 แพ็ค,42บาท
35,น้ำสต็อกไก่,ซีพี น้ำสต็อกไก่ชนิดเข้มข้น 200 กรัม,88 แพ็ค,150บาท
36,แฮม,ซีพี แฮมหมูเกรดเอ 200 กรัม,73 แพ็ค,160บาท
37,น้ำจิ้มสุกี้,พันท้ายนรสิงห์ น้ำจิ้มสุกี้กวางตุ้ง 330 กรัม,68 ขวด,28บาท
38,เห็ดชิเมจิ,เห็ดชิเมจิ,7 แพ็ค,99บาท
39,ปลากระป๋อง,โรซ่าปลาแมคเคอเรลในซอสมะเขือเทศฝาดึง 155 กรัม,102 กระป๋อง,34บาท
40,น้ำสต็อกหมู,ซีพี น้ำสต็อกหมู 200 มล.,218 แพ็ค,110บาท